"company","lat","lang"
"美加麗實業有限公司",23.03510,120.31435
"翰東實業有限公司",23.05853,120.13583
"聖岳工具",24.08508,120.68020
"聖益工業社",24.23497,120.71392
"聯合包裝事業",24.08561,120.68184
"聯眾纖維股份有限公司",24.99363,121.30098
"至盈實業有限公司三廠",22.81532,120.31888
"至盈實業股份有限公司五廠",22.82386,120.31665
"至盈實業股份有限公司六廠",22.82386,120.31665
"興廣公司",24.93178,121.28364
"興隆工業社",24.21636,120.70625
"茂晟公司",24.95928,121.28831
"萬一昌業行歸仁廠",22.99558,120.28228
"萬毅企業有限公司",22.83747,120.27786
"藝昇印花工廠",23.12579,120.19934
"藝暉家具",25.08324,121.45699
"虹菱實業股份有限公司",22.92127,120.24403
"融威企業股份有限公司二廠",22.81704,120.31962
"詮峰工業股份有限公司",24.24772,120.65792
"誠太鋼鐵",24.10469,120.68121
"謝清福裁縫工廠",24.07551,120.44729
"證豐工業有限公司",24.12108,120.71061
"豐勝工業股份有限公司",24.08503,120.68072
"豐美紙器工業有限公司",24.05678,120.49550
"豐譯企業社嘉華廠",22.82175,120.31044
"豐邑富科技有限公司",24.08165,120.67625
"賀祥公司",22.95193,120.28588
"賀群企業社安南廠",23.05381,120.23715
"資勇企業股份有限公司",23.11707,120.23825
"賢民工廠股份有限公司三廠",22.81666,120.31950
"輿丞股份有限公司",22.94012,120.23973
"進傑精機廠有限公司",24.06850,120.63733
"進源企業社",25.10290,121.43937
"運勤機械工業股份有限公司",23.92996,120.56617
"達榮紙器廠股份有限公司",24.08503,120.68072
"金丰庶工業有限公司",22.80165,120.28588
"金勇行企業有限公司",23.97405,120.55587
"金意興企業有限公司",24.09210,120.48709
"金長興企業社",23.05373,120.22795
"金龍興企業社",23.03871,120.31113
"鉅泰企業社",24.07790,120.68683
"鉫鑫企業有限公司",24.10459,120.70496
"銓信工業股份有限公司",25.09206,121.41749
"銘得螺絲工廠股份有限公司",22.81733,120.31762
"鋐昇金屬有限公司",24.89799,121.00771
"鋸立機械有限公司",24.08265,120.44384
"錡明工業股份有限公司",24.08517,120.68014
"錦續企業社",22.69479,120.36085
"鎂迪企業股份有限公司",24.05811,120.64063
"鑫城土木包工業",23.05853,120.13583
"鑫江眼鏡有限公司",23.02280,120.28903
"鑫立鋼鋁實業社",23.06002,120.22742
"陸正空調機械有限公司",24.23028,120.65390
"雄煒企業社",24.89245,121.23977
"雍鋼企業有限公司",24.00950,120.48296
"雙霸實業開發有限公司",23.02809,120.33202
"順吉公司",22.95193,120.28588
"高島新健康事業股份有限公司",23.05561,120.23663
"鳳瑋金屬有限公司",23.94435,120.55262
"鴻成機械鈑金廠",24.24662,120.68310
"鴻睿實業有限公司",25.06965,121.18974
"鴻鉦實業有限公司",22.98727,120.25348
"鴻鑫福企業有限公司",24.08265,120.44384
"鴻陽企業社",24.23744,120.71360
"鶴力精密工業股份有限公司",24.06512,120.64990
"麗晨企業廠有限公司",24.26345,120.67996
"世祥汽材製造廠有限公司",24.03135,120.64152
"佳立工程行",22.82350,120.31286
"旭台浪板股份有限公司",24.34037,120.66340
"至盈實業有限公司",22.81905,120.31937
"易連工業股份有限公司",22.82359,120.31454
"易連工業股份有限公司",22.82359,120.31454
"銘得螺絲工廠股份有限公司",22.81733,120.31762
"力馬",22.84940,120.26281
"基富",23.05853,120.13583
"木工傢俱",23.05853,120.13583
"東文",22.84940,120.26281
"永昌聖",24.33177,120.65332
"沖床廠",23.05853,120.13583
"鐵工廠",23.05853,120.13583
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
