"company","lat","lang"
"豪茂螺帽工廠股份有限公司",22.82408,120.31632
"豫勛企業有限公司",22.86111,120.29441
"豫瑞企業有限公司",22.86111,120.29441
"賢民工廠股份有限公司",22.81667,120.31951
"輝泰企業社",22.81669,120.31944
"輝鴻企業社",22.82484,120.32745
"輿全工程有限公司",22.79458,120.27325
"進隆企業社",22.82377,120.31632
"達億企業社",22.82148,120.31502
"金吉億興業有限公司",22.81905,120.31937
"金品工業社",22.82387,120.31727
"金瑞億企業有限公司",22.66797,120.37121
"鉅永工業有限公司",22.81742,120.31760
"鉎益工業有限公司",22.82509,120.32920
"鉞登股份有限公司",22.60281,120.43176
"銓禾企業有限公司",22.68913,120.36148
"銘晟企業社",22.81706,120.32125
"鋐興金屬實業有限公司",22.60242,120.43140
"鍵財機械企業股份有限公司",22.81846,120.32637
"鏵福實業股份有限公司",22.87152,120.30506
"長昱螺絲企業社",22.81641,120.31907
"長記企業行",22.80751,120.30090
"開銘有限公司",22.58191,120.41401
"陸合興發紙器股份有限公司",22.84483,120.32730
"隆泰工程股份有限公司",22.60281,120.43176
"雋登企業有限公司",22.57373,120.41752
"順發企業行",22.81923,120.31915
"高大興業有限公司",22.66351,120.37319
"高林農貿股份有限公司",22.88260,120.24887
"高煜企業股份有限公司",22.58269,120.41761
"鴻君模具股份有限公司",22.82116,120.31859
"麗敏企業股份有限公司",22.82333,120.31172
"麗錡科技有限公司",22.82408,120.31632
"龍耀木業股份有限公司",22.73754,120.26088
"鹿港電器股份有限公司",24.08147,120.45904
"福鎰銅器股份有限公司",24.08220,120.45666
"佳泰商行",24.08054,120.45720
"帝寶工業股份有限公司",24.08981,120.46834
"嘉晉紙業",24.09910,120.48205
"彰駿企業有限公司",24.09868,120.48055
"勁好企業",24.09809,120.48155
"鉅銅企業",24.08112,120.48617
"詮偉五金股份有限公司",24.07941,120.47839
"彰格工業",24.09426,120.46299
"欣大園藝噴水工具有限公司",24.08277,120.46267
"和勤精機股份有限公司",23.98768,120.45671
"夆昌皮革",23.91563,120.59389
"中部雷射",23.94032,120.56736
"傑森企業股份有限公司",23.94329,120.56561
"緯佳精密工業",24.08802,120.60688
"勝朋企業",24.08552,120.60462
"得貹股份",23.94271,120.58995
"久銘機械",23.97384,120.55513
"侑廷鐵管股份有限公司",24.11041,120.52419
"高頡建材股份股份有限公司",24.11169,120.52505
"正華綜合企業股份有限公司",23.92925,120.56517
"雲南企業股份有限公司",23.92925,120.56517
"偉隆食品罐頭股份有限公司",23.92969,120.56708
"文賀實業",23.98731,120.57922
"輝豐紙管",23.94476,120.55252
"皇立興頁",23.98491,120.58320
"昌慶興頁",23.98542,120.58348
"禹昌企業股份有限公司",23.98772,120.53077
"鉅松實業股份有限公司",23.84472,120.47916
"瑞振工業",24.06831,120.48931
"行山企業",24.06417,120.48911
"鑫權工業",24.06861,120.48969
"兆偉衛材",24.05812,120.49331
"有為工業",23.94675,120.55957
"鴻德興股份有限公司",23.95971,120.39939
"光輪工業",24.00130,120.52423
"久鴻工業",24.00123,120.52558
"耀裕橡膠",24.02779,120.44816
"泉錩工業",23.96964,120.53488
"正新橡膠",23.98432,120.57309
"邑得工業有限公司",23.93741,120.55928
"培林企業有限公司",24.08455,120.60437
"億東企業",23.85075,120.40881
"雨陞精密實業",24.08476,120.60430
"宏業五金",24.08455,120.60437
"升耀企業股份有限公司",24.00323,120.52787
"簾耀有限公司",24.00323,120.52787
"健源工業有限公司",24.00323,120.52787
"聯米企業股份有限公司",23.86959,120.45976
"信昌宏工業股份有限公司",23.86915,120.45873
"宏隆工業社",23.93828,120.56370
"建明鋁材有限公司",23.93856,120.56453
"辰泰精密科技有限公司",23.93817,120.56372
"六川電梯工業",24.08455,120.60437
